,0
Annual return,-0.09939863498058554
Cumulative returns,-0.2261139064386153
Annual volatility,0.3928493143051933
Sharpe ratio,-0.018537278201397694
Calmar ratio,-0.20252790803720272
Stability,0.11174509203332691
Max drawdown,-0.49078981728447435
Omega ratio,0.995464208576488
Sortino ratio,-0.021266777882726493
Skew,-10.294698138570087
Kurtosis,190.83175393572424
Tail ratio,1.0559609545263042
Daily value at risk,-0.04952325959331742
